id,period,model,rule,piq,y,irate,rrate,pi
1,1,G2_SIGMA08,Growth,0.1073169857263565,0.164931058883667,-0.9693226218223572,-1.1457329988479614,0.026829246431589127
1,2,G2_SIGMA08,Growth,0.17641037702560425,0.22366119921207428,-0.67243492603302,-0.8733478784561157,0.07093183696269989
1,3,G2_SIGMA08,Growth,0.2009129524230957,0.2237876057624817,-0.4309176802635193,-0.6211215853691101,0.12116007506847382
1,4,G2_SIGMA08,Growth,0.19020390510559082,0.19597239792346954,-0.23542506992816925,-0.39405742287635803,0.16871105134487152
1,5,G2_SIGMA08,Growth,0.15863235294818878,0.15858487784862518,-0.10928461700677872,-0.22871696949005127,0.1815398931503296
1,6,G2_SIGMA08,Growth,0.11943235248327255,0.12099508196115494,-0.032060958445072174,-0.11423059552907944,0.1672953963279724
1,7,G2_SIGMA08,Growth,0.08216963708400726,0.08751583099365234,0.010523895733058453,-0.04173385724425316,0.1376095563173294
1,8,G2_SIGMA08,Growth,0.052257753908634186,0.05965879559516907,0.029524855315685272,-0.002034515142440796,0.1031230241060257
1,9,G2_SIGMA08,Growth,0.03155937045812607,0.03740968555212021,0.03375478461384773,0.014316309243440628,0.07135477662086487
1,10,G2_SIGMA08,Growth,0.019438475370407104,0.01999032311141491,0.0300741083920002,0.016203593462705612,0.046356309205293655
1,11,G2_SIGMA08,Growth,0.01387051586061716,0.006355551071465015,0.023391118273139,0.011008255183696747,0.029281528666615486
1,12,G2_SIGMA08,Growth,0.012382863089442253,-0.004482246935367584,0.016768012195825577,0.004049481824040413,0.01931280642747879
1,13,G2_SIGMA08,Growth,0.012718530371785164,-0.013271953910589218,0.011716777458786964,-0.001487690955400467,0.014602595940232277
1,14,G2_SIGMA08,Growth,0.013204468414187431,-0.02046590857207775,0.00862208940088749,-0.004243277013301849,0.013044093735516071
1,15,G2_SIGMA08,Growth,0.012865366414189339,-0.02625475451350212,0.007187581155449152,-0.004168422427028418,0.012792807072401047
1,16,G2_SIGMA08,Growth,0.01135600358247757,-0.03065524436533451,0.006820096168667078,-0.0019729225896298885,0.012536091729998589
1,17,G2_SIGMA08,Growth,0.008793018758296967,-0.033611960709095,0.006905588787049055,0.0013487529940903187,0.011554714292287827
1,18,G2_SIGMA08,Growth,0.005556835792958736,-0.0350835919380188,0.006968033034354448,0.00485375989228487,0.00964280590415001
1,19,G2_SIGMA08,Growth,0.0021142729092389345,-0.035097960382699966,0.006728761829435825,0.007839340716600418,0.006955033168196678
1,20,G2_SIGMA08,Growth,-0.0011105790035799146,-0.033772848546504974,0.006096266210079193,0.009905833750963211,0.0038383870851248503
1,21,G2_SIGMA08,Growth,-0.0038095670752227306,-0.03130876645445824,0.005118002183735371,0.010932240635156631,0.0006877409759908915
1,22,G2_SIGMA08,Growth,-0.005814238917082548,-0.027963964268565178,0.003920319024473429,0.011004386469721794,-0.002155028050765395
1,23,G2_SIGMA08,Growth,-0.007084066979587078,-0.024022551253437996,0.002654185052961111,0.010328991338610649,-0.004454613197594881
1,24,G2_SIGMA08,Growth,-0.007674805819988251,-0.019764097407460213,0.001455856952816248,0.009156463667750359,-0.006095670163631439
1,25,G2_SIGMA08,Growth,-0.007700607180595398,-0.01544005423784256,0.0004248199984431267,0.00772430095821619,-0.007068430073559284
1,26,G2_SIGMA08,Growth,-0.007299480959773064,-0.011259005405008793,-0.0003831670037470758,0.006224135868251324,-0.007439740002155304
1,27,G2_SIGMA08,Growth,-0.00660730293020606,-0.007380427792668343,-0.0009523159824311733,0.004789541941136122,-0.007320548873394728
1,28,G2_SIGMA08,Growth,-0.005741857923567295,-0.0039151920937001705,-0.0012971160467714071,0.0034987807739526033,-0.0068373121321201324
1,29,G2_SIGMA08,Growth,-0.0047958968207240105,-0.0009305140119977295,-0.001450820011086762,0.0023859888315200806,-0.006111134774982929
1,30,G2_SIGMA08,Growth,-0.0038368089590221643,0.00154281803406775,-0.0014549370389431715,0.0014553070068359375,-0.005245467182248831
1,31,G2_SIGMA08,Growth,-0.002910244045779109,0.0035026520490646362,-0.0013512689620256424,0.0006940581370145082,-0.004321202170103788
1,32,G2_SIGMA08,Growth,-0.0020453270990401506,0.004968209192156792,-0.0011769270058721304,8.286396041512489e-05,-0.003397068940103054
1,33,G2_SIGMA08,Growth,-0.0012597909662872553,0.005973918829113245,-0.0009620329947210848,-0.0003979370230808854,-0.0025130428839474916
1,34,G2_SIGMA08,Growth,-0.0005640959716401994,0.006564482115209103,-0.0007293910020962358,-0.0007651944179087877,-0.0016948649426922202
1,35,G2_SIGMA08,Growth,3.580340126063675e-05,0.006791041232645512,-0.0004953769966959953,-0.0010322979651391506,-0.0009583529899828136
1,36,G2_SIGMA08,Growth,0.0005369210266508162,0.006708234082907438,-0.00027132598916068673,-0.0012099379673600197,-0.00031279100221581757
1,37,G2_SIGMA08,Growth,0.000938611978199333,0.006371879950165749,-6.494559784187004e-05,-0.0013074105372652411,0.0002368099958403036
1,38,G2_SIGMA08,Growth,0.0012424649903550744,0.0058371080085635185,0.00011853800242533907,-0.001333832973614335,0.0006884500035084784
1,39,G2_SIGMA08,Growth,0.0014523710124194622,0.005156789906322956,0.0002755940076895058,-0.0012989349197596312,0.0010425919899716973
1,40,G2_SIGMA08,Growth,0.0015745289856567979,0.00438023591414094,0.00040394399547949433,-0.0012133358977735043,0.0013019939651712775
1,41,G2_SIGMA08,Growth,0.0016172799514606595,0.0035521199461072683,0.0005023609846830368,-0.0010883810464292765,0.0014716610312461853
1,42,G2_SIGMA08,Growth,0.0015907420311123133,0.0027116630226373672,0.0005706140073016286,-0.0009356639347970486,0.0015587309608235955
1,43,G2_SIGMA08,Growth,0.0015062779420986772,0.0018920840229839087,0.0006094499840401113,-0.0007664430304430425,0.0015722069656476378
1,44,G2_SIGMA08,Growth,0.0013758930144831538,0.001120329019613564,0.0006205550162121654,-0.0005910650361329317,0.0015225480310618877
1,45,G2_SIGMA08,Growth,0.001211620052345097,0.00041706199408508837,0.0006064589833840728,-0.00041851901914924383,0.0014211330562829971
1,46,G2_SIGMA08,Growth,0.0010249780025333166,-0.0002030909963650629,0.0005703840288333595,-0.0002561409492045641,0.001279692049138248
1,47,G2_SIGMA08,Growth,0.0008265249780379236,-0.0007311039953492582,0.0005160470027476549,-0.00010950100841000676,0.001109753968194127
1,48,G2_SIGMA08,Growth,0.0006255480111576617,-0.0011629549553617835,0.0004474380111787468,1.7562007997184992e-05,0.0009221680229529738
1,49,G2_SIGMA08,Growth,0.00042987600318156183,-0.0014989279443398118,0.00036860399995930493,0.00012280300143174827,0.0007267320179380476
1,50,G2_SIGMA08,Growth,0.00024580099852755666,-0.0017428610008209944,0.00028345800819806755,0.00020535731164272875,0.0005319369956851006
1,51,G2_SIGMA08,Growth,7.81006965553388e-05,-0.0019013839773833752,0.00019562100351322442,0.0002655003045219928,0.0003448310017120093
1,52,G2_SIGMA08,Growth,-6.987930100876838e-05,-0.0019831759855151176,0.00010830300016095862,0.00030439699185080826,0.00017097400268539786
1,53,G2_SIGMA08,Growth,-0.00019609399896580726,-0.00199828390032053,2.4238499463535845e-05,0.0003238784847781062,1.4481999642157461e-05
1,54,G2_SIGMA08,Growth,-0.0002996399998664856,-0.0019575029145926237,-5.4355601605493575e-05,0.0003262273967266083,-0.00012187800166429952
1,55,G2_SIGMA08,Growth,-0.00038058299105614424,-0.0018718399805948138,-0.0001257800031453371,0.0003140050102956593,-0.00023654900724068284
1,56,G2_SIGMA08,Growth,-0.0004397850134409964,-0.0017520689871162176,-0.0001888310071080923,0.0002899020037148148,-0.00032902599195949733
1,57,G2_SIGMA08,Growth,-0.0004787330108229071,-0.0016083680093288422,-0.00024276599287986755,0.0002566120238043368,-0.00039968499913811684
1,58,G2_SIGMA08,Growth,-0.0004993780166842043,-0.0014500479446724057,-0.0002872500044759363,0.0002167360216844827,-0.0004496200126595795
