sample,outcome,feature,coef,se,p_value,interpretation
model_average_across_rules,sacratio20,bnkcrdit,-0.8939903292292698,3.653410354059732,0.8066885551743463,lower output cost of disinflation
model_average_across_rules,sacratio20,ntwrth,1.7572665965456873,6.141023944215685,0.7747616666004052,higher output cost of disinflation
model_average_across_rules,sacratio20,open,3.812195892291316,5.395874209684237,0.4798760126952095,higher output cost of disinflation
model_average_across_rules,sacratio20,wlth_x_bnk,4.406238875225572,4.684290068160213,0.34688847161974234,higher output cost of disinflation
model_average_across_rules,sacratio20,bnk_x_ntw,1.2572611247453134,6.384586224278383,0.8438891121127229,higher output cost of disinflation
model_average_across_rules,sacratio20,ntw_x_wlth,-0.6381151387115018,5.825436656290571,0.9127746318845893,lower output cost of disinflation
model_average_across_rules,sacratio20,wlth_x_open,9.471872021825,8.95805724544805,0.2903483069987465,higher output cost of disinflation
model_average_across_rules,sacratio20,cb_authors_ext,1.3445781628808464,3.8343583784378783,0.7258391221294844,higher output cost of disinflation
model_average_across_rules,sacratio20,ln_neq,-0.7897727812731581,1.9832347046906684,0.690464658558092,lower output cost of disinflation
model_average_across_rules,sacratio20,vint_mid,-1.5332473875146526,4.04166272228491,0.7044201425423022,lower output cost of disinflation
model_average_across_rules,sacratio20,vint_late,2.7712698716867896,4.923081389597418,0.5734936630711088,higher output cost of disinflation
model_average_across_rules,sacratio20,cb_x_late,-5.2848067540577395,4.671284684533059,0.25791241642960216,lower output cost of disinflation
model_average_across_rules,y_timing_max,const,0.7300508247216921,1.3166387188236723,0.5792498760815177,longer lag to peak effect
model_average_across_rules,y_timing_max,estimated,1.348918857413831,0.4573091271735973,0.003180958498612729,longer lag to peak effect
model_average_across_rules,y_timing_max,sw_x_idx,0.7383560891494582,0.7187778965366832,0.3043083300020297,longer lag to peak effect
model_average_across_rules,y_timing_max,sw_x_noidx,0.2101149954904648,0.4712772138459732,0.65571165685034,longer lag to peak effect
model_average_across_rules,y_timing_max,pr_ndx,-0.10889316130698533,0.3460824389737851,0.7530310934137833,shorter lag to peak effect
model_average_across_rules,y_timing_max,wlth,-0.6572946203547754,0.8456097753303151,0.43698030092286333,shorter lag to peak effect
model_average_across_rules,y_timing_max,bnkcrdit,-0.49147688083501406,1.1655968043554537,0.6732786334159969,shorter lag to peak effect
model_average_across_rules,y_timing_max,ntwrth,-1.0395121651082995,1.3634357579291603,0.44580872799894156,shorter lag to peak effect
model_average_across_rules,y_timing_max,open,-0.588610275291869,0.9667492713090982,0.5426204526774736,shorter lag to peak effect
model_average_across_rules,y_timing_max,wlth_x_bnk,0.7614874279854691,1.0506757439941117,0.4685994683378225,longer lag to peak effect
model_average_across_rules,y_timing_max,bnk_x_ntw,1.1984966463920805,1.2585894715724022,0.34096826621185283,longer lag to peak effect
