cluster_raw,IScurve20,infl_per_rr20,sacratio20,y_timing_max,piq_timing_max
0,-2.2337985,-0.82387275,8.471683,1.1333333,1.1666666
1,-0.82314503,-0.20688774,15.442895,2.4224598,2.7005348
