key,model,rule,y_cum20,y_peak,y_trough,y_std,y_tpeak,y_ttrough,piq_cum20,piq_peak,piq_trough,piq_std,piq_tpeak,piq_ttrough,irate_cum20,irate_peak,irate_trough,irate_std,irate_tpeak,irate_ttrough,rrate_cum20,rrate_peak,rrate_trough,rrate_std,rrate_tpeak,rrate_ttrough,cluster_raw,k_selected,silhouette
G2_SIGMA08||Growth,G2_SIGMA08,Growth,1.034857171587646,0.2237876057624817,-0.035097960382699966,0.09142265992114433,2,18,1.2262758916476741,0.2009129524230957,-0.0038095670752227306,0.06864797921984324,2,20,-2.239245902746916,0.03375478461384773,-0.9693226218223572,0.2592514795923791,8,0,-3.3523905682377517,0.016203593462705612,-1.1457329988479614,0.319925820759779,9,0,1,2,0.3978362051613031
G2_SIGMA08||Inertial_Taylor,G2_SIGMA08,Inertial_Taylor,0.816907417960465,0.19529259204864502,-0.022253500297665596,0.07548857237030947,1,17,0.9393629380501807,0.1597537249326706,0.00433484697714448,0.05218225685606327,2,20,-2.2239749962463975,0.04503847658634186,-0.9732359051704407,0.2658948951625301,8,0,-3.076304101385176,0.0403299443423748,-1.1173526048660278,0.3140636086938615,8,0,1,2,0.3978362051613031
G2_SIGMA08||Taylor,G2_SIGMA08,Taylor,0.06977229693438858,0.030144164338707924,-0.0011356869945302606,0.007792921969141779,0,16,0.05937934500980191,0.011685310862958431,0.00020219199359416962,0.003486889220718745,1,8,-0.8774102251627482,0.01812845654785633,-0.9813479781150818,0.21018481853667115,3,0,-0.927616373897763,0.013738183304667473,-0.9930332899093628,0.21222091147107947,3,0,1,2,0.3978362051613031
G3_CW03||Growth,G3_CW03,Growth,1.2854694044217467,0.21389123797416687,-0.04516538232564926,0.0954623990792217,4,17,1.1434097490273416,0.0935521125793457,0.006217322777956724,0.028951314691406466,6,20,-2.4759382396005094,0.04296363517642021,-0.993664562702179,0.2826501288516934,11,0,-3.594091484323144,0.02494613453745842,-1.0392934083938599,0.291227868110651,20,0,1,2,0.3978362051613031
G3_CW03||Inertial_Taylor,G3_CW03,Inertial_Taylor,0.9244347154162824,0.19080549478530884,-0.04842526838183403,0.0863408765567551,4,15,0.7759868907742202,0.0680089145898819,0.005574093200266361,0.021787414592663878,6,20,-2.4213986387476325,0.07009462267160416,-0.9945180416107178,0.28704131994557286,11,0,-3.1796693727374077,0.038511186838150024,-1.0305044651031494,0.2955407107731738,12,0,1,2,0.3978362051613031
G3_CW03||Taylor,G3_CW03,Taylor,0.08595701475860551,0.02121160179376602,-0.0035175220109522343,0.008504578926716033,2,12,0.049504851922392845,0.0046479650773108006,0.0005534659721888602,0.0014405690867027071,4,20,-0.8840898833004758,0.015318561345338821,-0.9951008558273315,0.21316325459396435,3,0,-0.9319846355356276,0.010670596733689308,-0.998347282409668,0.2133480881937376,3,0,1,2,0.3978362051613031
G7_TAY93||Growth,G7_TAY93,Growth,2.557754955254495,0.3121771514415741,0.014500885270535946,0.10189148900192072,2,20,1.5492204241454601,0.16796663403511047,0.018113311380147934,0.047836491440749106,3,20,-1.7878317198192235,0.06497019529342651,-0.9666163921356201,0.270899866465566,11,0,-3.298773718997836,0.02532653510570526,-1.0758202075958252,0.3045875284022803,14,0,1,2,0.3978362051613031
G7_TAY93||Inertial_Taylor,G7_TAY93,Inertial_Taylor,1.7160628971178085,0.2636597454547882,0.0036372391041368246,0.0916328308378727,1,20,0.7465601940639317,0.100395068526268,0.006407732143998146,0.030633406938411035,3,20,-2.096124433912337,0.05985027179121971,-0.9716358184814453,0.2727001258874164,10,0,-2.8139088097959757,0.04287230968475342,-1.0418034791946411,0.29729502169739624,11,0,1,2,0.3978362051613031
G7_TAY93||Taylor,G7_TAY93,Taylor,0.18732220435049385,0.0664571076631546,0.0006398800178430974,0.0156665889638753,0,20,0.06612074724398553,0.00788103323429823,0.0010008770041167736,0.0021497297857140238,1,20,-0.8095244853757322,0.02318812534213066,-0.9655264616012573,0.20736608460755357,1,0,-0.8732587608974427,0.016044603660702705,-0.973407506942749,0.20840346639844967,1,0,1,2,0.3978362051613031
NK_AFL15||Growth,NK_AFL15,Growth,1.3064429499208927,0.6488193273544312,0.0004600689862854779,0.1455599428293659,0,20,1.1787198986421572,0.6644590497016907,0.00018520599405746907,0.14714050896086892,0,20,-2.2271682599093765,-0.0012643509544432163,-0.8566045165061951,0.20571922333602935,20,0,-2.741568893310614,-0.001404142938554287,-1.110289454460144,0.2610913996072812,20,0,1,2,0.3978362051613031
NK_AFL15||Inertial_Taylor,NK_AFL15,Inertial_Taylor,1.2332780671131331,0.674256443977356,0.00027036599931307137,0.15207543058404058,0,20,0.7838733159151161,0.608173131942749,-0.010710297152400017,0.1338160098628484,0,3,-2.204824410029687,-0.0008631600067019463,-0.8587017059326172,0.20992551367400492,20,0,-2.3804881104733795,-0.0008266100194305182,-1.043789029121399,0.2449727449045897,20,0,1,2,0.3978362051613031
NK_AFL15||Taylor,NK_AFL15,Taylor,0.2332857298097224,0.27378201484680176,-0.035908058285713196,0.05933716468008191,0,1,0.041994723655079724,0.1246674433350563,-0.04955839365720749,0.02950072211274863,0,1,-0.8202973749503144,0.019006483256816864,-0.8163586854934692,0.1739874685159654,3,0,-0.7376074123458238,0.028240591287612915,-0.7668002843856812,0.1638839314257925,1,0,1,2,0.3978362051613031
NK_BGG99||Growth,NK_BGG99,Growth,5.274657770991325,1.3950159549713135,0.09508965909481049,0.3007378572228076,0,20,1.877166831895011,0.8275811672210693,-0.004558892920613289,0.1931702257156852,1,20,-0.9610111765796319,0.059234365820884705,-0.8256230354309082,0.20446602949030004,3,0,-2.832861375529319,0.02597229741513729,-1.6532042026519775,0.39417638723010834,8,0,1,2,0.3978362051613031
NK_BGG99||Inertial_Taylor,NK_BGG99,Inertial_Taylor,3.5503597408533096,1.0276412963867188,0.0627979263663292,0.2224158586301964,0,20,-0.49857109691947743,0.40931203961372375,-0.0652153342962265,0.1051315457072826,1,6,-2.692193578928709,-0.031022705137729645,-0.8715448379516602,0.20458271396619565,6,0,-2.1404336988925934,0.03368593752384186,-1.2808568477630615,0.307202748270009,6,0,1,2,0.3978362051613031
NK_BGG99||Taylor,NK_BGG99,Taylor,0.8043326959013939,0.31119856238365173,0.016786329448223114,0.06126140471780833,0,20,-0.2658039079979062,1.1699999925974646e-17,-0.014969228766858578,0.0034425600590352475,0,15,-0.9634613686066587,0.013607004657387733,-0.8444007039070129,0.17872533727832812,1,0,-0.6831836299970746,0.02281198278069496,-0.8352006077766418,0.17958590499215785,1,0,1,2,0.3978362051613031
NK_BGUS10||Growth,NK_BGUS10,Growth,3.6692995466291904,0.9603642225265503,0.008993754163384438,0.22917010065208523,0,20,0.9340604518074542,0.294024795293808,0.0022100789938122034,0.06475401090019722,0,20,-2.564585440326482,-0.00487472815439105,-0.8523896336555481,0.2028052139224793,20,0,-3.206405384466052,-0.00665905699133873,-0.9671834707260132,0.23352537298892775,20,0,1,2,0.3978362051613031
NK_BGUS10||Inertial_Taylor,NK_BGUS10,Inertial_Taylor,1.914886578997539,0.7821542620658875,6.358909740811214e-05,0.18603121929682706,0,20,0.3888155960894437,0.2139478325843811,1.028019960358506e-05,0.04634182775582716,0,20,-2.4591049618975376,-8.730359695618972e-05,-0.8821731209754944,0.22456934965852174,20,0,-2.6339791830832837,-9.377293463330716e-05,-0.9402236342430115,0.24006669120074264,20,0,1,2,0.3978362051613031
NK_BGUS10||Taylor,NK_BGUS10,Taylor,0.21140132388591026,0.24350416660308838,-0.031092140823602676,0.052617753126274806,0,1,0.03393416851950707,0.05725911632180214,-0.025507638230919838,0.013590508206160645,0,1,-0.8433981000930196,0.01197079662233591,-0.8567757606506348,0.18264579451852708,3,0,-0.8200731616680292,0.012071510776877403,-0.8312681317329407,0.17719279058817172,2,0,1,2,0.3978362051613031
NK_CFP10||Growth,NK_CFP10,Growth,6.776672727428377,2.7728965282440186,0.015479291789233685,0.6072019578566568,0,20,2.593324035871774,0.9171602725982666,0.004416053183376789,0.21019378037697775,0,20,-0.08647334459237754,0.294593870639801,-0.5674041509628296,0.14608307141539054,3,0,-1.766332131344825,0.1058359444141388,-1.0236923694610596,0.23150434701234238,3,0,0,2,0.3978362051613031
