outcome,n_obs,r2_rule_only,r2_model_only,r2_rule_plus_model,inc_rule_given_model,inc_model_given_rule
IScurve20,217,0.027024693162345348,0.3768684662756011,0.39513789299375446,0.018269426718153348,0.3681131998314091
infl_per_rr20,217,0.06040725642993949,0.3026994027758474,0.3605099582834227,0.0578105555075753,0.3001027018534832
piq_timing_max,217,0.0039438284087384146,0.9043407170067703,0.9098001949980469,0.005459477991276551,0.9058563665893085
sacratio20,192,0.0002732754230595491,0.9357280580525065,0.9360380889660542,0.00031003091354775414,0.9357648135429947
y_timing_max,217,0.041451335761545804,0.7432438614586105,0.7661393785424466,0.02289551708383608,0.7246880427809008
